Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,T000007c0681f,T000007c2763a,T000007c0a876,T000007c1a9bf
1484262318.79,0.0633392333984,3.60849804687,3.65458984375,3.66337109375,3.64876367188,21.312,21.5,21.375,21.812
1484262319.8,-0.00570678710938,3.60850390625,3.6545703125,3.66338476563,3.64877148438,21.312,21.5,21.375,21.812
1484262320.9,0.025764465332,3.60850195313,3.65452734375,3.663375,3.64876953125,21.312,21.437,21.812,21.375
1484262321.85,-0.00685119628906,3.6085,3.65454101562,3.66337890625,3.64876171875,21.312,21.437,21.812,21.375
1484262322.85,-0.0915374755859,3.60850195313,3.654578125,3.66338085938,3.64877734375,21.25,21.437,21.375,21.812
1484262323.8,0.0700149536133,3.60850195313,3.65454492187,3.66338476563,3.6487578125,21.25,21.437,21.375,21.812
1484262324.8,0.0427398681641,3.60850585938,3.65455664063,3.663390625,3.64876171875,21.25,21.437,21.812,21.375
1484262325.86,-0.057014465332,3.60851367187,3.65453515625,3.66338867187,3.64876757813,21.25,21.437,21.812,21.375
1484262326.86,0.00650024414062,3.60849609375,3.6545546875,3.663390625,3.64875976562,21.25,21.812,21.375,21.437
1484262327.8,0.080696105957,3.60849609375,3.65455273438,3.66338476563,3.64876953125,21.25,21.812,21.375,21.437
1484262328.81,-0.00151062011719,3.60850585938,3.6545625,3.66339257812,3.648765625,21.25,21.437,21.375,21.812
1484262329.81,-0.0453796386719,3.60850585938,3.65457617188,3.6633828125,3.64876367188,21.25,21.437,21.375,21.812
1484262330.86,-0.075325012207,3.60850390625,3.65452929688,3.66337304687,3.6487578125,21.25,21.437,21.375,21.812
1484262331.81,0.100723266602,3.6085,3.65456054687,3.66338476563,3.64877148438,21.25,21.437,21.375,21.812
1484262332.81,0.0732574462891,3.6085078125,3.6545703125,3.66339257812,3.6487578125,21.25,21.437,21.375,21.812
1484262333.81,0.23900604248,3.60848632813,3.65452539062,3.6633671875,3.64876757813,21.25,21.437,21.375,21.812
1484262334.81,0.259414672852,3.60851953125,3.65455859375,3.66338085938,3.6487578125,21.187,21.437,21.812,21.375
1484262335.87,0.0110778808594,3.6085078125,3.65459765625,3.66337890625,3.6487578125,21.187,21.437,21.812,21.375
1484262336.87,-0.105461120605,3.60849023438,3.65453515625,3.66337890625,3.64875390625,21.187,21.375,21.812,21.437
1484262337.82,0.00402069091797,3.60850585938,3.65459765625,3.66337695313,3.64875976562,21.187,21.375,21.812,21.437
1484262338.81,0.0137481689453,3.60849023438,3.65458203125,3.6633828125,3.64876757813,21.25,21.437,21.375,21.812
1484262339.82,-0.0516738891602,3.60848046875,3.65455859375,3.66337890625,3.64876367188,21.25,21.437,21.375,21.812
1484262340.87,-0.0160064697266,3.60850976563,3.65456835938,3.663390625,3.64875585938,21.187,21.812,21.375,21.5
1484262341.87,0.0732574462891,3.60850195313,3.65451953125,3.66338085938,3.64876367188,21.187,21.812,21.375,21.5
1484262342.87,0.040641784668,3.60850195313,3.654515625,3.66337695313,3.648765625,21.25,21.5,21.375,21.812
1484262343.82,-0.0364151000977,3.6085,3.654578125,3.66337304687,3.64876171875,21.25,21.5,21.375,21.812
1484262344.82,0.02099609375,3.60851757813,3.65454492187,3.663375,3.64876171875,21.25,21.437,21.375,21.812
1484262345.88,0.243011474609,3.60849804687,3.6545703125,3.66337109375,3.64876171875,21.25,21.437,21.375,21.812
1484262346.88,-0.17374420166,3.6085078125,3.65454101562,3.66337890625,3.64876171875,21.25,21.5,21.375,21.812
1484262347.88,0.195137023926,3.6084921875,3.65458203125,3.66338085938,3.64876757813,21.25,21.5,21.375,21.812
1484262348.88,-0.262245178223,3.60849804687,3.65453515625,3.66337695313,3.64876171875,21.187,21.437,21.375,21.812
1484262349.88,-0.05224609375,3.60850195313,3.65450976563,3.66338085938,3.64876367188,21.187,21.437,21.375,21.812
1484262350.88,-0.00437164306641,3.60849609375,3.654578125,3.663375,3.64876171875,21.437,21.25,21.375,21.812
1484262351.89,0.153938293457,3.60848828125,3.65455078125,3.66338671875,3.64875976562,21.437,21.25,21.375,21.812
1484262352.89,0.0999603271484,3.60849414062,3.6545546875,3.66338085938,3.64876171875,21.375,21.437,21.25,21.812
1484262353.89,-0.0161972045898,3.60849414062,3.65452734375,3.66337109375,3.64876757813,21.375,21.437,21.25,21.812
1484262354.89,-0.0469055175781,3.6085,3.6545390625,3.663375,3.64875976562,21.187,21.375,21.5,21.812
1484262355.89,0.0183258056641,3.60849609375,3.6545546875,3.66337695313,3.648765625,21.187,21.375,21.5,21.812
1484262356.89,-0.0850524902344,3.60849609375,3.65458789063,3.66337695313,3.6487578125,21.187,21.5,21.812,21.375
1484262357.89,-0.0129547119141,3.60849023438,3.65454101562,3.66338867187,3.64876757813,21.187,21.5,21.812,21.375
1484262358.94,-0.158485412598,3.6085078125,3.65451953125,3.66337890625,3.64876367188,21.187,21.437,21.812,21.437
1484262359.84,0.0465545654297,3.6084921875,3.65453515625,3.66338671875,3.64875976562,21.187,21.437,21.812,21.437
1484262360.9,-0.0873413085938,3.60849023438,3.65450195313,3.66337695313,3.64876171875,21.25,21.5,21.812,21.375
1484262361.9,0.00382995605469,3.6084921875,3.65456054687,3.66339257812,3.64876367188,21.25,21.5,21.812,21.375
1484262362.95,-0.0848617553711,3.608484375,3.65454492187,3.6633828125,3.64875585938,21.25,21.437,21.812,21.375
1484262363.84,-0.101837158203,3.60848242188,3.654546875,3.66337304687,3.64875976562,21.25,21.437,21.812,21.375
1484262364.84,0.0330123901367,3.60849609375,3.65456445312,3.66338671875,3.6487578125,21.187,21.437,21.812,21.375
1484262365.9,0.0658187866211,3.60849023438,3.6545546875,3.663375,3.64875585938,21.187,21.437,21.812,21.375
1484262366.9,-0.0556793212891,3.60849414062,3.65457226563,3.663375,3.64876171875,21.187,21.812,21.437,21.375
1484262367.97,0.00325775146484,3.60849414062,3.6545078125,3.66337695313,3.64876171875,21.187,21.812,21.437,21.375
1484262368.9,0.0795516967773,3.60849804687,3.65454492187,3.66337109375,3.64875976562,21.187,21.812,21.5,21.375
1484262369.85,0.00306701660156,3.60849804687,3.65457421875,3.66336328125,3.64876953125,21.187,21.812,21.5,21.375
1484262370.91,0.0883255004883,3.60849609375,3.6545703125,3.66338476563,3.648765625,21.25,21.5,21.375,21.812
1484262371.91,0.0087890625,3.60848828125,3.65451757813,3.6633828125,3.64875390625,21.25,21.5,21.375,21.812
